Frame,Sub Frame,"Position - max4",,,"Rotation (Helical) - max4",,
,,"TX","TY","TZ","RX","RY","RZ"
Frames,Frames,"mm","mm","mm","°","°","°"
174,0,"-121.13","-393.499","912.918","-0.888883","-2.46394","-6.31612"
175,0,"-121.247","-391.831","913.965","-1.08887","-2.27787","-6.25245"
176,0,"-121.539","-390.046","915.012","-1.43873","-2.40576","-6.13126"
177,0,"-121.659","-388.232","915.942","-1.71583","-2.42313","-6.00719"
178,0,"-121.865","-386.347","916.872","-2.02299","-2.50946","-5.88377"
179,0,"-121.91","-384.413","917.804","-2.17954","-2.27344","-5.85306"
180,0,"-122.116","-382.464","918.592","-2.48956","-2.43763","-5.71109"
181,0,"-122.175","-380.438","919.39","-2.65459","-2.26948","-5.665"
182,0,"-122.3","-378.467","920.062","-2.86871","-2.29238","-5.56487"
183,0,"-122.411","-376.435","920.706","-3.03846","-2.24377","-5.49286"
184,0,"-122.45","-374.456","921.237","-3.15513","-2.14395","-5.42219"
185,0,"-122.519","-372.461","921.702","-3.27083","-2.09135","-5.33749"
186,0,"-122.468","-370.501","922.084","-3.30191","-1.90273","-5.2773"
187,0,"-122.586","-368.493","922.481","-3.39098","-1.86919","-5.19447"
188,0,"-122.713","-366.528","922.77","-3.53997","-2.03315","-5.05023"
189,0,"-122.519","-364.601","923.079","-3.41085","-1.58387","-5.07464"
190,0,"-122.564","-362.728","923.219","-3.54803","-1.84286","-4.89415"
191,0,"-122.306","-360.967","923.322","-3.40246","-1.47228","-4.88824"
192,0,"-122.227","-359.176","923.389","-3.41039","-1.48415","-4.78978"
193,0,"-122.115","-357.392","923.39","-3.43851","-1.54957","-4.67545"
194,0,"-121.924","-355.737","923.298","-3.39882","-1.53602","-4.58206"
195,0,"-121.886","-354.125","923.12","-3.4872","-1.86026","-4.4031"
196,0,"-121.735","-352.491","922.905","-3.51163","-2.02732","-4.26434"
197,0,"-121.468","-350.864","922.803","-3.33559","-1.69527","-4.2949"
198,0,"-121.392","-349.347","922.487","-3.37211","-1.95378","-4.14541"
199,0,"-121.098","-347.917","922.101","-3.26314","-1.88155","-4.07671"
200,0,"-121.041","-346.413","921.804","-3.26948","-2.0356","-3.97716"
201,0,"-120.773","-345.011","921.456","-3.13785","-1.84185","-3.96577"
202,0,"-120.473","-343.687","921.025","-3.08322","-1.87655","-3.87074"
203,0,"-120.337","-342.452","920.679","-3.06689","-1.96513","-3.79661"
204,0,"-120.124","-341.278","920.31","-3.05526","-2.04738","-3.69408"
205,0,"-119.889","-340.158","920.006","-3.07332","-2.17047","-3.59613"
206,0,"-119.601","-339.033","919.728","-3.14551","-2.38118","-3.44924"
207,0,"-119.493","-338.033","919.558","-3.24132","-2.59618","-3.35322"
208,0,"-119.149","-337.139","919.304","-3.30887","-2.77007","-3.20938"
209,0,"-119.001","-336.233","919.28","-3.47149","-3.07439","-3.10105"
210,0,"-118.757","-335.429","919.22","-3.61139","-3.32931","-2.96559"
211,0,"-118.711","-334.666","919.197","-3.94148","-4.03032","-2.71545"
212,0,"-118.484","-334.025","919.306","-4.00747","-4.07394","-2.67292"
213,0,"-118.217","-333.462","919.391","-4.01862","-3.9649","-2.65357"
214,0,"-118.134","-332.95","919.445","-4.09836","-4.03428","-2.58221"
215,0,"-118.175","-332.385","919.637","-4.16251","-3.98981","-2.56025"
216,0,"-118.092","-332.038","919.738","-4.15212","-3.82264","-2.57276"
217,0,"-118.103","-331.688","919.991","-4.10228","-3.50465","-2.65415"
218,0,"-118.009","-331.504","920.206","-4.02886","-3.17931","-2.72268"
219,0,"-118.04","-331.377","920.484","-4.02953","-3.04996","-2.73579"
220,0,"-118.157","-331.334","920.827","-4.01052","-2.88993","-2.76175"
221,0,"-118.329","-331.259","921.235","-4.0557","-2.84991","-2.75454"
222,0,"-118.43","-331.303","921.547","-4.03968","-2.70756","-2.75913"
223,0,"-118.362","-331.384","921.833","-3.94893","-2.36233","-2.81132"
224,0,"-118.528","-331.44","922.115","-4.0088","-2.3735","-2.77709"
225,0,"-118.689","-331.498","922.356","-4.07352","-2.38647","-2.73826"
226,0,"-118.772","-331.578","922.51","-4.15726","-2.45229","-2.67092"
227,0,"-118.93","-331.654","922.69","-4.25226","-2.54186","-2.61676"
228,0,"-118.828","-331.833","922.746","-4.25621","-2.45068","-2.58058"
229,0,"-118.995","-331.85","922.889","-4.43847","-2.74608","-2.46126"
230,0,"-119.133","-331.937","922.993","-4.61171","-3.05521","-2.32894"
231,0,"-119.128","-332.027","923.059","-4.69859","-3.14713","-2.25271"
232,0,"-119.21","-332.114","923.134","-4.82927","-3.34181","-2.15923"
233,0,"-119.219","-332.25","923.179","-4.88086","-3.35508","-2.12264"
234,0,"-119.347","-332.348","923.261","-4.96814","-3.44341","-2.08034"
235,0,"-119.388","-332.49","923.306","-4.99383","-3.39016","-2.07555"
236,0,"-119.481","-332.644","923.339","-5.04128","-3.40406","-2.06025"
237,0,"-119.491","-332.838","923.319","-5.05272","-3.35075","-2.05992"
238,0,"-119.526","-333.034","923.266","-5.08006","-3.33706","-2.05404"
239,0,"-119.528","-333.245","923.165","-5.07748","-3.25934","-2.06674"
240,0,"-119.637","-333.43","923.013","-5.1816","-3.46775","-1.99653"
241,0,"-119.676","-333.682","922.83","-5.17618","-3.42478","-2.00699"
242,0,"-119.754","-333.936","922.629","-5.20009","-3.4716","-1.99811"
243,0,"-119.726","-334.217","922.341","-5.22122","-3.55359","-1.95776"
244,0,"-119.814","-334.473","922.122","-5.25784","-3.6682","-1.92282"
245,0,"-119.789","-334.713","921.848","-5.30235","-3.81567","-1.86243"
246,0,"-119.739","-335.007","921.572","-5.27935","-3.81809","-1.85184"
247,0,"-119.565","-335.329","921.223","-5.26596","-3.88243","-1.80207"
248,0,"-119.56","-335.641","920.941","-5.26576","-3.97611","-1.77558"
249,0,"-119.547","-335.978","920.604","-5.31099","-4.22593","-1.69818"
250,0,"-119.357","-336.31","920.238","-5.30122","-4.33647","-1.64168"
251,0,"-119.172","-336.626","919.89","-5.27441","-4.40846","-1.60028"
252,0,"-118.976","-337.014","919.444","-5.26195","-4.57261","-1.529"
253,0,"-118.892","-337.375","919.07","-5.23355","-4.6774","-1.49485"
254,0,"-118.675","-337.673","918.606","-5.24795","-4.91538","-1.39255"
255,0,"-118.417","-337.992","918.181","-5.17376","-4.92485","-1.36147"
256,0,"-118.334","-338.338","917.73","-5.17963","-5.17038","-1.28322"
257,0,"-118.19","-338.612","917.292","-5.20937","-5.45388","-1.17715"
258,0,"-117.997","-338.904","916.917","-5.15906","-5.53088","-1.14023"
259,0,"-117.768","-339.228","916.496","-5.11627","-5.65771","-1.07114"
260,0,"-117.553","-339.554","916.141","-5.02055","-5.62588","-1.06954"
261,0,"-117.288","-339.828","915.752","-4.99433","-5.77775","-0.986075"
262,0,"-117.049","-340.105","915.358","-4.96967","-5.9267","-0.910721"
263,0,"-116.941","-340.344","915.043","-4.93647","-6.01729","-0.896234"
264,0,"-116.641","-340.602","914.611","-4.89872","-6.14288","-0.826182"
265,0,"-116.26","-340.831","914.208","-4.81176","-6.13006","-0.791292"
266,0,"-116.13","-340.993","913.889","-4.78513","-6.24795","-0.76011"
267,0,"-115.927","-341.21","913.478","-4.75169","-6.40213","-0.703153"
268,0,"-115.752","-341.262","913.166","-4.73825","-6.53991","-0.649303"
269,0,"-115.505","-341.379","912.832","-4.64881","-6.50956","-0.64621"
270,0,"-115.329","-341.488","912.508","-4.56913","-6.50596","-0.646392"
271,0,"-115.098","-341.555","912.178","-4.52132","-6.57751","-0.609373"
272,0,"-114.841","-341.563","911.897","-4.45552","-6.58099","-0.590187"
273,0,"-114.728","-341.556","911.638","-4.44828","-6.72716","-0.555142"
274,0,"-114.41","-341.512","911.384","-4.34855","-6.63665","-0.563163"
275,0,"-114.329","-341.467","911.155","-4.32268","-6.72915","-0.563226"
276,0,"-114.159","-341.404","910.89","-4.27756","-6.77933","-0.551543"
277,0,"-114.11","-341.322","910.61","-4.28043","-6.95441","-0.530147"
278,0,"-113.932","-341.174","910.384","-4.21689","-6.92994","-0.548905"
279,0,"-113.946","-341.059","910.105","-4.21035","-7.06699","-0.538149"
280,0,"-113.746","-340.919","909.834","-4.11246","-6.96885","-0.564173"
281,0,"-113.704","-340.749","909.605","-4.10976","-7.10053","-0.544277"
282,0,"-113.603","-340.562","909.407","-4.04839","-7.06887","-0.56769"
283,0,"-113.476","-340.38","909.295","-3.87807","-6.74927","-0.686926"
284,0,"-113.427","-340.179","909.135","-3.83116","-6.7612","-0.711406"
285,0,"-113.296","-339.971","908.96","-3.77619","-6.75761","-0.725408"
286,0,"-113.249","-339.753","908.786","-3.72294","-6.77389","-0.749506"
287,0,"-113.155","-339.54","908.57","-3.66299","-6.77886","-0.770034"
288,0,"-113.13","-339.335","908.344","-3.60288","-6.79239","-0.792993"
289,0,"-113.119","-339.086","908.112","-3.55388","-6.8165","-0.817083"
290,0,"-113.06","-338.858","907.806","-3.4911","-6.83578","-0.831166"
291,0,"-113.043","-338.593","907.509","-3.45207","-6.91233","-0.831105"
292,0,"-113.012","-338.373","907.171","-3.37137","-6.90119","-0.855403"
293,0,"-113.049","-338.108","906.866","-3.34872","-7.01841","-0.854155"
294,0,"-112.938","-337.848","906.536","-3.3035","-7.10744","-0.832404"
295,0,"-112.85","-337.644","906.192","-3.24167","-7.15881","-0.830715"
296,0,"-112.842","-337.382","905.891","-3.21615","-7.27743","-0.820878"
297,0,"-112.776","-337.097","905.58","-3.19549","-7.41389","-0.7869"
298,0,"-112.602","-336.899","905.181","-3.11985","-7.44974","-0.769481"
299,0,"-112.505","-336.624","904.842","-3.09584","-7.57056","-0.737268"
300,0,"-112.248","-336.359","904.447","-3.0462","-7.64509","-0.683573"
301,0,"-112.181","-336.17","904.094","-2.9814","-7.67769","-0.67808"
302,0,"-111.914","-335.941","903.715","-2.90999","-7.69885","-0.633786"
303,0,"-111.93","-335.686","903.432","-2.86619","-7.77319","-0.632646"
304,0,"-111.763","-335.47","903.102","-2.80553","-7.81638","-0.599746"
305,0,"-111.542","-335.295","902.748","-2.71849","-7.83033","-0.564023"
306,0,"-111.45","-335.092","902.463","-2.65948","-7.89583","-0.537509"
307,0,"-111.269","-334.942","902.103","-2.62988","-8.08841","-0.448548"
